t,vx,vz,vy,v_ref,x,y,z,throttle,kp,ki,kd
15:03.0,0,0,0,18,0,0,0,0.54,0.03,0,0.0002
15:03.1,0.001003034,-0.000660844,-0.000893045,18,0.67326504,0.10680978,-0.24685568,0.539874271,0.03,0,0.0002
15:03.1,0.000764264,-0.000572548,-0.000801307,18,0.6732475,0.10682291,-0.2468373,0.539859363,0.03,0,0.0002
15:03.1,0.000764264,-0.000572548,-0.000801307,18,0.6732475,0.10682291,-0.2468373,0.539865368,0.03,0,0.0002
15:03.1,0.001465303,-0.0002854,-0.00048325,18,0.67321646,0.106818005,-0.24683076,0.539838277,0.03,0,0.0002
15:03.1,0.001465303,-0.0002854,-0.00048325,18,0.67321646,0.106818005,-0.24683076,0.539830536,0.03,0,0.0002
15:03.2,0.001030396,-0.000578861,-0.000327645,18,0.673193,0.10683118,-0.24682331,0.539859321,0.03,0,0.0002
15:03.2,0.001086606,-0.000197351,0.00038596,18,0.67318094,0.10683337,-0.24682759,0.539872295,0.03,0,0.0002
15:03.2,0.001086606,-0.000197351,0.00038596,18,0.67318094,0.10683337,-0.24682759,0.539873653,0.03,0,0.0002
15:03.3,0.00083094,-0.000533796,0.000447378,18,0.6731478,0.10685437,-0.24684511,0.539880848,0.03,0,0.0002
15:03.3,0.00083094,-0.000533796,0.000447378,18,0.6731478,0.10685437,-0.24684511,0.539882904,0.03,0,0.0002
15:03.3,-0.002541965,0.002113055,0.001646073,18,0.67325866,0.10677181,-0.24691065,0.539663791,0.03,0,0.0002
15:03.4,-0.000884434,0.001179824,0.000799927,18,0.6732757,0.10674903,-0.2469261,0.539770463,0.03,0,0.0002
15:03.4,-0.001789206,-0.000901149,-0.002969099,18,0.67330015,0.10676134,-0.24688554,0.539658873,0.03,0,0.0002
15:03.4,-0.001789206,-0.000901149,-0.002969099,18,0.67330015,0.10676134,-0.24688554,0.539613172,0.03,0,0.0002
15:03.5,0.014577293,-0.008176871,-0.3367406,18,0.6729958,0.10729464,-0.24067694,0.511593006,0.03,0,0.0002
15:03.5,0.014577293,-0.008176871,-0.3367406,18,0.6729958,0.10729464,-0.24067694,0.503587245,0.03,0,0.0002
15:03.5,0.003652585,-0.047332488,-1.1362641,18,0.6733347,0.10875194,-0.21040133,0.436378824,0.03,0,0.0002
15:03.6,-0.004120354,-0.063656755,-1.2111974,18,0.6734208,0.11008119,-0.18510967,0.410824283,0.03,0,0.0002
15:03.6,0.002420828,-0.07387177,-2.5085566,18,0.67339015,0.11101607,-0.15336265,0.389733549,0.04,0,0.0002
15:03.6,0.002420828,-0.07387177,-2.5085566,18,0.67339015,0.11101607,-0.15336265,0.358611089,0.04,0,0.0002
15:03.7,-0.006106686,-0.107873976,-2.2928538,18,0.67321014,0.114452,-0.06936455,0.384320738,0.04,0,0.0002
15:03.7,-0.006106686,-0.107873976,-2.2928538,18,0.67321014,0.114452,-0.06936455,0.389462667,0.04,0,0.0002
15:03.7,-0.001708726,-0.14520076,-3.5005393,18,0.6733488,0.11870836,0.040829156,0.352228873,0.06,0,0.0002
15:03.8,-0.00374713,-0.16903356,-3.7059574,18,0.673413,0.12160417,0.10431801,0.283630859,0.06,0,0.0002
15:03.8,-0.021231525,-0.18106906,-4.170539,18,0.6737658,0.124612704,0.17361313,0.219173535,0.07,0,0.0002
15:03.8,-0.021231525,-0.18106906,-4.170539,18,0.6737658,0.124612704,0.17361313,0.208020504,0.07,0,0.0002
15:03.9,0.00607634,-0.18325625,-4.5703363,18,0.673416,0.13099284,0.32478413,0.116936544,0.07,0,0.0002
15:03.9,0.00607634,-0.18325625,-4.5703363,18,0.673416,0.13099284,0.32478413,0.107348759,0.07,0,0.0002
15:03.9,-0.022701254,-0.20430404,-5.156766,0,0.67481637,0.13733548,0.49121103,0,0.08,0,0.0003
15:04.0,-0.050730933,-0.1849462,-5.2864437,0,0.67564833,0.1403684,0.5779029,0,0.08,0,0.0003
15:04.0,-0.006608341,-0.1960803,-5.1515007,0,0.67576224,0.14374813,0.6666966,0,0.08,0,0.0003
15:04.0,-0.006608341,-0.1960803,-5.1515007,0,0.67576224,0.14374813,0.6666966,0,0.08,0,0.0003
15:04.1,0.042378105,-0.2305853,-5.327678,0,0.6746967,0.1510988,0.8466167,0,0.08,0,0.0003
15:04.1,0.042378105,-0.2305853,-5.327678,0,0.6746967,0.1510988,0.8466167,0,0.08,0,0.0003
15:04.1,0.049074072,-0.26413745,-5.866602,0,0.6736697,0.15920287,1.0312707,0,0.08,0,0.0003
15:04.2,0.035554644,-0.2296144,-4.678429,0,0.67297846,0.16366692,1.1222264,0,0.07,0,0.0002
15:04.2,0.002422353,-0.19489147,-6.108089,0,0.67294335,0.16649148,1.2107508,0,0.08,0,0.0003
15:04.2,0.024036437,-0.19490959,-5.25854,0,0.67254186,0.16974743,1.2985942,0,0.08,0,0.0003
15:04.3,-0.004830554,-0.1273144,-4.8107796,0,0.6726278,0.17201352,1.384222,0,0.07,0,0.0002
15:04.3,-0.004830554,-0.1273144,-4.8107796,0,0.6726278,0.17201352,1.384222,0,0.07,0,0.0002
15:04.3,-0.009813678,-0.17830594,-5.098033,0,0.6730165,0.17722854,1.5498557,0,0.08,0,0.0003
15:04.4,0.029822698,-0.116801076,-4.5279636,0,0.67248917,0.17929393,1.6299233,0,0.07,0,0.0002
15:04.4,0.051633514,-0.10241305,-4.5774283,0,0.6716044,0.18104878,1.7083577,0,0.07,0,0.0002
15:04.4,0.051633514,-0.10241305,-4.5774283,0,0.6716044,0.18104878,1.7083577,0,0.07,0,0.0002
15:04.5,-0.006107572,-0.129017,-4.374443,0,0.67143154,0.1851373,1.8592837,0,0.07,0,0.0002
15:04.5,-0.006107572,-0.129017,-4.374443,0,0.67143154,0.1851373,1.8592837,0,0.07,0,0.0002
15:04.5,-0.002629225,-0.1168905,-4.3254786,0,0.67147076,0.18944502,2.0030107,0,0.07,0,0.0002
15:04.6,-0.039551124,-0.12653884,-4.0349035,0,0.6721517,0.19162364,2.0724797,0,0.06,0,0.0002
